n_alert_workers,n_enrichment_workers,n_filter_workers,wall_time_s,alerts_per_second,aps_per_alert_worker,aps_per_enrichment_worker,aps_per_filter_worker,filter_batch_mean,filter_batch_p50,filter_full_frac,filter_small_frac_lt500,enrich_enqueue_mean,enrich_enqueue_p50,alert_rate_mean,alert_active_s,enrich_active_s,filter_active_s,tail_idle_s
1,1,1,309.816969,94.06198793456016,94.06198793456016,94.06198793456016,94.06198793456016,883.0909090909091,1000.0,0.8484848484848485,0.12121212121212122,687.0909090909091,754.0,,167.862797,313.673999,314.578328,0.0
1,2,1,175.22540999999998,166.3114955758985,166.3114955758985,83.15574778794925,166.3114955758985,159.24590163934425,130.0,0.0,0.9781420765027322,96.8974358974359,76.0,,165.341045,171.464888,173.725972,6.276787
1,3,1,175.28660399999998,166.253434860316,166.253434860316,55.41781162010533,166.253434860316,43.75675675675676,36.0,0.0,1.0,12.236373448461954,10.0,,163.683314,164.663851,164.879523,15.123662
1,3,3,175.226138,166.31080461295107,166.31080461295107,55.43693487098369,55.43693487098369,27.83381088825215,22.0,0.0,1.0,12.009533898305085,10.0,,165.392942,166.36147,166.483155,13.519974
1,6,1,175.328946,166.2132845993382,166.2132845993382,27.7022140998897,166.2132845993382,33.57373271889401,28.0,0.0,1.0,4.716871229457042,4.0,,162.841965,163.538216,163.715553,16.288436
1,6,3,152.53060499999998,191.05673907213574,191.05673907213574,31.842789845355956,63.68557969071191,17.802076970067198,15.0,0.0,1.0,4.976733977172959,4.0,,156.546778,157.268668,157.376185,0.0
1,9,1,158.478954,183.88561549945618,183.88561549945618,20.431735055495132,183.88561549945618,33.45809414466131,28.0,0.0,1.0,3.4942209893666205,3.0,,161.972073,162.908989,163.047408,0.0
1,9,3,152.556556,191.0242389058652,191.0242389058652,21.22491543398502,63.67474630195506,16.729047072330655,14.0,0.0,1.0,3.644165863066538,3.0,,156.422108,157.197107,157.346798,0.0
2,2,1,159.529014,182.6752342367013,91.33761711835065,91.33761711835065,182.6752342367013,832.6285714285714,1000.0,0.7714285714285715,0.2,647.8285714285714,738.0,,78.830263,162.445746,164.342984,0.0
2,3,1,115.296815,252.7563315604165,126.37816578020825,84.25211052013883,252.7563315604165,766.8947368421053,1000.0,0.6578947368421053,0.2631578947368421,566.85,723.5,,74.704543,113.050434,116.630211,3.371592
3,3,1,115.25904299999999,252.8391633444328,84.27972111481093,84.27972111481093,252.8391633444328,832.6285714285714,1000.0,0.7714285714285715,0.17142857142857143,612.8108108108108,748.0,,50.164519,111.254957,119.279072,0.722643
3,3,3,115.209086,252.94879954173058,84.3162665139102,84.3162665139102,84.3162665139102,832.6285714285714,1000.0,0.7428571428571429,0.17142857142857143,647.8285714285714,740.0,,49.318498,113.689914,115.758253,4.2440809999999995
