n_alert_workers,n_enrichment_workers,n_filter_workers,start_time,end_time,wall_time_s
1,3,1,2026-03-13T17:56:35.996648+0000,2026-03-13T17:59:42.501378+0000,186
1,3,3,2026-03-13T18:01:24.753106+0000,2026-03-13T18:04:29.904869+0000,185
1,6,1,2026-03-13T18:06:09.773010+0000,2026-03-13T18:09:14.216260+0000,184
1,6,3,2026-03-13T18:10:57.036997+0000,2026-03-13T18:14:00.375063+0000,183
1,9,1,2026-03-13T18:15:40.174247+0000,2026-03-13T18:18:44.012889+0000,183
1,9,3,2026-03-13T18:20:23.928224+0000,2026-03-13T18:23:25.694434+0000,181
3,3,1,2026-03-13T18:25:07.457475+0000,2026-03-13T18:27:39.676431+0000,152
3,3,3,2026-03-13T18:29:20.210193+0000,2026-03-13T18:31:47.808982+0000,147
3,6,1,2026-03-13T18:33:27.118214+0000,2026-03-13T18:34:57.952792+0000,90
3,6,3,2026-03-13T18:36:37.115564+0000,2026-03-13T18:38:02.565288+0000,85
3,9,1,2026-03-13T18:39:43.467420+0000,2026-03-13T18:41:02.062619+0000,78
3,9,3,2026-03-13T18:42:41.968621+0000,2026-03-13T18:43:39.656808+0000,57
6,3,1,2026-03-13T18:45:21.706743+0000,2026-03-13T18:47:54.251944+0000,152
6,3,3,2026-03-13T18:49:33.329133+0000,2026-03-13T18:52:03.444370+0000,150
6,6,1,2026-03-13T18:53:42.874267+0000,2026-03-13T18:55:12.980008+0000,90
6,6,3,2026-03-13T18:56:53.419431+0000,2026-03-13T18:58:18.103769+0000,84
6,9,1,2026-03-13T18:59:58.444606+0000,2026-03-13T19:01:18.190397+0000,79
6,9,3,2026-03-13T19:02:58.260602+0000,2026-03-13T19:04:02.476676+0000,64
1,1,1,2026-03-13T19:05:41.836947+0000,2026-03-13T19:12:45.914811+0000,424
1,2,1,2026-03-13T19:14:25.691034+0000,2026-03-13T19:18:06.551644+0000,220
2,2,1,2026-03-13T19:19:43.890097+0000,2026-03-13T19:23:39.044854+0000,235
3,4,1,2026-03-13T19:25:05.962894+0000,2026-03-13T19:27:05.034934+0000,119
4,6,1,2026-03-13T19:28:45.317381+0000,2026-03-13T19:30:19.140576+0000,93
4,7,1,2026-03-13T19:32:00.240742+0000,2026-03-13T19:33:23.502804+0000,83
5,8,1,2026-03-13T19:35:04.678215+0000,2026-03-13T19:36:25.967159+0000,81
5,5,1,2026-03-13T19:38:06.472087+0000,2026-03-13T19:40:01.740672+0000,115
6,10,1,2026-03-13T19:41:27.010287+0000,2026-03-13T19:42:47.478603+0000,80
7,11,1,2026-03-13T19:44:28.654246+0000,2026-03-13T19:45:48.057569+0000,79
8,13,1,2026-03-13T19:47:28.477735+0000,2026-03-13T19:48:47.031085+0000,78
9,15,1,2026-03-13T19:50:28.109970+0000,2026-03-13T19:51:46.883277+0000,78
9,14,2,2026-03-13T19:53:28.916106+0000,2026-03-13T19:54:24.239596+0000,55
